id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,Loan status
,,10000,10000,10000.0, 36 months, 12.59%,334.97,C,C2,Maintnance Tec,9 years,RENT,44084,Verified,Dec-2015,n,,,debt_consolidation,Debt consolidation,282xx,NC,12.25,0,Jan-2006,0,29,,5,0,435,18.9%,12,f,3164.49,3164.49,8702.23,8702.23,6835.51,1866.72,0.0,0.0,0.0,Feb-2018,334.97,Mar-2018,Feb-2018,0,29,1,Individual,,,,0,0,11209.0,,,,,,,,,,,,2300.0,,,,5,2242.0,1065.0,29.0,0,0.0,119.0,41.0,11.0,2.0,0.0,11.0,,11.0,,2.0,2.0,2.0,2.0,2.0,9.0,3.0,3.0,2.0,5.0,0.0,0.0,0.0,3.0,83.3,0.0,0.0,0.0,13650.0,11209.0,1500.0,11350.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,28000,28000,27775.0, 36 months,  6.03%,852.2,A,A1,,,MORTGAGE,120000,Source Verified,May-2014,n,,,credit_card,Credit card refinancing,342xx,FL,18.92,0,Jul-1987,0,,,17,0,35623,38.9%,33,f,0.00,0.00,30293.1500052039,30049.72,28000.00,2293.15,0.0,0.0,0.0,Mar-2016,12396.95,,Feb-2018,0,,1,Individual,,,,0,0,254736.0,,,,,,,,,,,,91600.0,,,,5,15921.0,48377.0,42.4,0,0.0,139.0,321.0,23.0,5.0,2.0,25.0,,8.0,,0.0,4.0,4.0,7.0,8.0,14.0,12.0,17.0,4.0,17.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,330518.0,77815.0,84000.0,60176.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,12000,12000,12000.0, 36 months, 13.59%,407.75,C,C2,Safety,2 years,RENT,160000,Not Verified,Dec-2017,n,,,credit_card,Credit card refinancing,255xx,WV,9.76,0,Jan-2006,1,,,11,0,7371,40.7%,17,w,11728.15,11728.15,385.1,385.10,271.85,113.25,0.0,0.0,0.0,Feb-2018,407.75,Mar-2018,Feb-2018,0,,1,Individual,,,,0,0,39286.0,4,2.0,1,1.0,6.0,31915.0,84,3.0,7.0,2302,70.0,18100.0,0,0,6.0,8,3571.0,10120.0,39.8,0,0.0,143.0,42.0,2.0,2.0,0.0,2.0,,2.0,,0.0,6.0,7.0,8.0,8.0,6.0,9.0,11.0,7.0,11.0,0.0,0.0,0.0,4.0,100.0,12.5,0.0,0.0,56036.0,39286.0,16800.0,37936.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,10000,10000,10000.0, 36 months,  9.49%,320.29,B,B2,Respiratory therapist,1 year,RENT,70000,Source Verified,Aug-2016,n,,,credit_card,Credit card refinancing,061xx,CT,16.1,1,Aug-2006,0,9,,12,0,9718,60.7%,24,w,0.00,0.00,10812.7187001869,10812.72,10000.00,812.72,0.0,0.0,0.0,Oct-2017,3154.22,,Nov-2017,0,,1,Individual,,,,0,0,86846.0,0,4.0,0,0.0,28.0,77128.0,73,1.0,2.0,2853,70.0,16000.0,0,0,0.0,2,7237.0,5182.0,65.2,0,0.0,120.0,117.0,9.0,9.0,0.0,9.0,9.0,,9.0,0.0,5.0,5.0,6.0,7.0,15.0,8.0,9.0,5.0,12.0,0.0,0.0,0.0,1.0,95.8,66.7,0.0,0.0,104535.0,86846.0,14900.0,88535.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,10000,10000,10000.0, 36 months, 12.29%,333.53,C,C1,,,RENT,48000,Source Verified,Apr-2015,n,,,debt_consolidation,Debt consolidation,735xx,OK,27.08,0,Aug-2005,0,,,10,0,13869,85.6%,30,w,0.00,0.00,4147.58,4147.58,2164.76,830.18,0.0,1152.64,207.4752,Feb-2016,667.06,,Oct-2016,0,,1,Individual,,,,0,0,36576.0,,,,,,,,,,,,16200.0,,,,1,3658.0,934.0,91.7,0,0.0,115.0,91.0,18.0,18.0,0.0,18.0,,18.0,,0.0,4.0,7.0,4.0,5.0,21.0,7.0,8.0,7.0,10.0,0.0,0.0,0.0,0.0,100.0,75.0,0.0,0.0,55431.0,36576.0,11300.0,39140.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,0
,,38650,38650,38650.0, 60 months,  9.75%,816.46,B,B3,National Sales manager,3 years,OWN,298000,Source Verified,Apr-2016,n,,,debt_consolidation,Debt consolidation,622xx,IL,11.92,1,Dec-2000,0,3,,11,0,41089,65.4%,22,w,26600.46,26600.46,17941.18,17941.18,12049.54,5891.64,0.0,0.0,0.0,Feb-2018,816.46,Mar-2018,Feb-2018,0,51,1,Individual,,,,0,0,170808.0,0,3.0,0,1.0,14.0,33435.0,46,2.0,3.0,17079,55.0,62800.0,0,0,1.0,4,15528.0,15433.0,70.8,0,0.0,155.0,184.0,9.0,9.0,2.0,9.0,,8.0,,1.0,5.0,7.0,5.0,9.0,6.0,7.0,13.0,7.0,11.0,0.0,0.0,0.0,2.0,90.5,40.0,0.0,0.0,269884.0,74524.0,52800.0,72834.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,2000,2000,2000.0, 36 months, 12.74%,67.14,C,C1,Food Service Manager,3 years,RENT,21000,Verified,May-2017,n,,,medical,Medical expenses,785xx,TX,18.63,0,May-2006,0,,,8,0,0,0%,14,f,0.00,0.00,257.94,257.94,186.57,71.37,0.0,0.0,0.0,Aug-2017,67.14,,Feb-2018,0,,1,Individual,,,,0,0,27299.0,1,5.0,1,1.0,11.0,27299.0,103,1.0,1.0,0,83.0,6500.0,1,1,0.0,2,3900.0,4500.0,0.0,0,0.0,92.0,131.0,1.0,1.0,0.0,90.0,,13.0,,0.0,0.0,0.0,1.0,2.0,10.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,33000.0,27299.0,4500.0,26500.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,0
,,35000,35000,35000.0, 36 months, 17.99%,1265.16,D,D2,Manager,5 years,MORTGAGE,90000,Verified,Apr-2017,n,,,debt_consolidation,Debt consolidation,410xx,KY,10.21,4,Aug-1996,0,4,68,5,1,6601,82.5%,13,f,27075.45,27075.45,12616.62,12616.62,7924.55,4692.07,0.0,0.0,0.0,Feb-2018,1265.16,Mar-2018,Feb-2018,0,4,1,Individual,,,,0,0,206998.0,0,2.0,1,1.0,8.0,17690.0,43,0.0,0.0,6601,49.0,8000.0,0,0,1.0,1,51750.0,1399.0,82.5,0,0.0,164.0,248.0,25.0,8.0,1.0,27.0,10.0,8.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,7.0,1.0,5.0,0.0,0.0,2.0,1.0,53.8,100.0,0.0,1.0,235595.0,24291.0,8000.0,41195.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,5000,5000,5000.0, 36 months,  9.17%,159.4,B,B2,Counselor,4 years,RENT,40000,Source Verified,Apr-2015,n,,,credit_card,Credit card refinancing,083xx,NJ,13.68,0,Jul-1993,1,,38,9,4,4559,69.1%,22,f,0.00,0.00,2541.34,2541.34,1783.59,445.46,0.0,312.29,56.2122,Jun-2016,159.4,,Nov-2016,0,,1,Individual,,,,0,149,22215.0,,,,,,,,,,,,6600.0,,,,6,3174.0,200.0,81.8,0,0.0,153.0,261.0,4.0,4.0,1.0,25.0,,4.0,,0.0,1.0,5.0,1.0,5.0,3.0,8.0,18.0,5.0,9.0,0.0,0.0,0.0,2.0,95.5,100.0,4.0,0.0,26150.0,22215.0,1100.0,19550.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,0
,,12000,12000,12000.0, 36 months, 23.88%,470.04,E,E2,Portfolio Manager,10+ years,RENT,240000,Source Verified,Jun-2017,n,,,debt_consolidation,Debt consolidation,957xx,CA,5.98,1,Oct-2004,1,1,43,7,6,6,0.1%,19,f,10281.42,10281.42,3250.48,3250.48,1718.58,1531.90,0.0,0.0,0.0,Feb-2018,470.04,Mar-2018,Feb-2018,0,,1,Individual,,,,0,494,49277.0,1,3.0,2,3.0,1.0,49271.0,87,1.0,4.0,6,74.0,9700.0,6,1,7.0,7,7040.0,694.0,0.9,0,0.0,152.0,137.0,12.0,1.0,0.0,137.0,43.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,12.0,4.0,7.0,1.0,7.0,0.0,0.0,0.0,3.0,89.5,0.0,0.0,6.0,66605.0,49277.0,700.0,56905.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,15000,15000,15000.0, 36 months, 16.55%,531.44,D,D2,HR Spec,8 years,MORTGAGE,90000,Verified,Feb-2015,n,,,debt_consolidation,Debt consolidation,481xx,MI,23.88,1,Apr-1998,4,23,64,24,1,12024,65%,65,f,0.00,0.00,19047.9367030874,19047.94,15000.00,4047.94,0.0,0.0,0.0,Oct-2017,3118.53,,Jan-2018,0,70,1,Individual,,,,0,0,146923.0,,,,,,,,,,,,18500.0,,,,20,6678.0,951.0,84.9,0,0.0,170.0,202.0,2.0,2.0,0.0,12.0,,2.0,,1.0,6.0,14.0,6.0,9.0,44.0,15.0,20.0,14.0,24.0,0.0,0.0,0.0,11.0,96.9,83.3,1.0,0.0,171604.0,146923.0,6300.0,153104.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,30000,30000,30000.0, 36 months, 17.10%,1071.08,C,C5,Federal Aviation Administration,5 years,RENT,119000,Verified,Sep-2013,n,,,debt_consolidation,Debt consolidation,331xx,FL,26.82,0,Feb-2001,1,39,,9,0,30024,89.1%,24,f,0.00,0.00,38558.6690156918,38558.67,30000.00,8558.67,0.0,0.0,0.0,Oct-2016,1070.86,,Feb-2018,0,39,1,Individual,,,,0,0,77669.0,,,,,,,,,,,,33700.0,,,,5,9709.0,3238.0,89.2,0,0.0,141.0,153.0,4.0,4.0,0.0,4.0,39.0,5.0,39.0,1.0,4.0,5.0,4.0,11.0,5.0,6.0,19.0,5.0,9.0,0.0,0.0,0.0,1.0,95.0,75.0,0.0,0.0,112321.0,77669.0,29900.0,78621.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,1
,,10000,10000,10000.0, 36 months, 21.49%,379.28,D,D5,Senior Medical Billing Coordinator,5 years,RENT,38542,Verified,Jul-2016,n,,,debt_consolidation,Debt consolidation,331xx,FL,28.46,0,May-2006,1,,,8,0,7522,81.8%,9,f,0.00,0.00,2880.55,2880.55,1256.26,1024.29,0.0,600.0,108.0,Jan-2017,379.28,,Feb-2018,0,,1,Individual,,,,0,0,30409.0,2,2.0,0,1.0,18.0,22887.0,72,2.0,3.0,4679,74.0,9200.0,0,0,1.0,4,4344.0,0.0,101.6,0,0.0,122.0,44.0,4.0,4.0,0.0,19.0,,4.0,,0.0,2.0,4.0,2.0,2.0,3.0,6.0,6.0,4.0,8.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,41032.0,30409.0,5900.0,31832.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,Y,Sep-2017,ACTIVE,Aug-2017,5716,60,24.0,0
