loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,Loan_status
4000.0,4000.0,4000.0, 36 months, 14.49%,137.67,C,C4,4 years,MORTGAGE,120000.0,Not Verified,Oct-2014,n,other,FL,12.86,0.0,Dec-2007,1.0,30.0,0.0,17326.0,57.4%,33.0,w,Jan-2018,0.0,Individual,0.0,0.0,587045.0,30200.0,19568.0,1683.0,77.6,0.0,0.0,82.0,63.0,17.0,4.0,2.0,17.0,0.0,2.0,6.0,2.0,2.0,23.0,8.0,8.0,6.0,30.0,0.0,0.0,0.0,1.0,96.9,50.0,0.0,0.0,601217.0,271224.0,7500.0,234763.0,Cash,1
5600.0,5600.0,5600.0, 36 months, 17.99%,202.43,D,D2,7 years,MORTGAGE,73000.0,Verified,Oct-2016,n,home_improvement,WI,15.04,0.0,Jul-1996,0.0,10.0,0.0,3430.0,56.2%,42.0,w,Feb-2018,0.0,Individual,0.0,0.0,184042.0,6100.0,18404.0,560.0,84.0,0.0,0.0,243.0,119.0,1.0,1.0,3.0,3.0,13.0,1.0,3.0,2.0,6.0,23.0,6.0,14.0,3.0,10.0,0.0,0.0,0.0,6.0,64.3,50.0,0.0,0.0,188773.0,37949.0,3500.0,35817.0,Cash,1
20000.0,20000.0,20000.0, 36 months,  5.32%,602.3,A,A1,10+ years,MORTGAGE,135000.0,Not Verified,Dec-2015,n,debt_consolidation,NY,15.9,0.0,Jan-1982,1.0,14.0,0.0,14467.0,44.4%,32.0,w,Feb-2018,0.0,Individual,0.0,0.0,402057.0,32600.0,28718.0,5052.0,64.2,0.0,0.0,146.0,405.0,7.0,7.0,7.0,44.0,1.0,4.0,8.0,4.0,9.0,6.0,10.0,18.0,9.0,14.0,0.0,0.0,0.0,4.0,96.7,75.0,0.0,0.0,440065.0,34741.0,14100.0,27805.0,Cash,1
15000.0,15000.0,15000.0, 60 months,  7.89%,303.36,A,A5,10+ years,MORTGAGE,71000.0,Not Verified,Feb-2015,n,credit_card,DE,22.41,0.0,Dec-1999,1.0,21.0,0.0,88074.0,43.9%,48.0,w,Feb-2018,0.0,Individual,0.0,0.0,202641.0,143400.0,10132.0,37945.0,50.4,0.0,0.0,122.0,182.0,3.0,3.0,2.0,13.0,0.0,9.0,11.0,12.0,27.0,7.0,18.0,39.0,11.0,21.0,0.0,0.0,0.0,1.0,97.9,25.0,0.0,0.0,293503.0,98445.0,76500.0,20103.0,Cash,1
30000.0,30000.0,30000.0, 60 months, 12.62%,676.78,C,C1,1 year,MORTGAGE,250000.0,Source Verified,Jul-2017,n,credit_card,CA,3.31,0.0,Dec-2010,0.0,15.0,1.0,19831.0,28.2%,19.0,w,Feb-2018,0.0,Individual,0.0,0.0,637228.0,70400.0,42482.0,28419.0,25.4,0.0,0.0,75.0,79.0,8.0,8.0,1.0,8.0,0.0,5.0,9.0,6.0,7.0,2.0,14.0,16.0,9.0,15.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,1.0,693400.0,19831.0,38100.0,0.0,Cash,1
24000.0,24000.0,24000.0, 60 months, 13.99%,558.32,C,C4,5 years,OWN,110000.0,Source Verified,Apr-2015,n,credit_card,TX,12.08,0.0,Aug-1999,1.0,13.0,0.0,35699.0,55.3%,31.0,w,Jul-2017,0.0,Individual,0.0,0.0,397887.0,64600.0,30607.0,28301.0,55.8,0.0,0.0,132.0,188.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,9.0,17.0,6.0,10.0,21.0,4.0,13.0,0.0,0.0,0.0,4.0,100.0,44.4,0.0,0.0,452318.0,59422.0,64000.0,30777.0,Cash,1
18000.0,18000.0,18000.0, 60 months,  9.17%,375.14,B,B2,10+ years,MORTGAGE,80000.0,Not Verified,Dec-2015,n,debt_consolidation,CO,14.75,1.0,Jan-2001,0.0,17.0,0.0,14360.0,18.3%,33.0,w,Dec-2017,0.0,Individual,0.0,0.0,364318.0,78600.0,21430.0,53783.0,17.9,0.0,0.0,152.0,179.0,14.0,14.0,5.0,14.0,0.0,7.0,9.0,9.0,14.0,6.0,13.0,21.0,9.0,17.0,0.0,0.0,0.0,0.0,96.9,0.0,0.0,0.0,480572.0,21263.0,65500.0,22085.0,Cash,1
14075.0,14075.0,14075.0, 60 months, 22.40%,391.95,E,E3,6 years,MORTGAGE,46400.0,Verified,Nov-2013,n,debt_consolidation,AR,20.64,0.0,Jan-1996,3.0,16.0,0.0,11222.0,73.3%,51.0,f,Feb-2017,0.0,Individual,0.0,0.0,74060.0,15300.0,4629.0,1199.0,86.7,0.0,0.0,137.0,214.0,26.0,1.0,5.0,26.0,0.0,9.0,13.0,9.0,11.0,30.0,13.0,16.0,13.0,16.0,0.0,0.0,0.0,3.0,100.0,88.9,0.0,0.0,89959.0,19728.0,9000.0,8506.0,Cash,1
5000.0,5000.0,4975.0, 36 months,  7.35%,155.19,A,A4,,OWN,10020.0,Verified,Nov-2017,n,credit_card,OK,25.98,0.0,Feb-1987,0.0,6.0,0.0,5771.0,62.1%,10.0,f,Feb-2018,0.0,Individual,0.0,0.0,5771.0,9300.0,962.0,2400.0,48.9,0.0,0.0,,369.0,40.0,40.0,0.0,90.0,0.0,3.0,6.0,3.0,4.0,0.0,6.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,9300.0,5771.0,4700.0,0.0,Cash,1
29500.0,29500.0,29500.0, 36 months, 13.11%,995.54,B,B4,3 years,RENT,257100.0,Verified,Apr-2013,n,credit_card,CA,9.39,0.0,Aug-1991,3.0,12.0,0.0,38262.0,48.1%,30.0,f,Apr-2016,0.0,Individual,0.0,0.0,98336.0,79500.0,8195.0,39465.0,46.2,0.0,0.0,144.0,263.0,7.0,4.0,2.0,7.0,0.0,6.0,8.0,7.0,13.0,9.0,9.0,18.0,8.0,12.0,0.0,0.0,0.0,2.0,100.0,28.6,0.0,0.0,154133.0,98336.0,73400.0,69355.0,Cash,1
10000.0,10000.0,10000.0, 36 months, 13.99%,341.73,C,C4,8 years,RENT,50000.0,Verified,Jul-2015,n,credit_card,NY,24.92,0.0,Oct-1999,0.0,9.0,0.0,19711.0,92.1%,22.0,w,Feb-2018,0.0,Individual,0.0,0.0,19711.0,21400.0,2464.0,1689.0,92.1,0.0,0.0,,189.0,7.0,7.0,0.0,7.0,0.0,5.0,5.0,9.0,18.0,0.0,9.0,22.0,5.0,9.0,0.0,0.0,0.0,2.0,100.0,62.5,0.0,0.0,21400.0,19711.0,21400.0,0.0,Cash,1
5500.0,5500.0,5500.0, 36 months, 16.99%,196.07,D,D1,10+ years,OWN,41000.0,Source Verified,Sep-2016,n,debt_consolidation,TX,11.97,1.0,Dec-1999,2.0,7.0,0.0,5043.0,54.2%,17.0,w,Mar-2017,0.0,Individual,0.0,64.0,10401.0,9300.0,1486.0,3297.0,55.4,0.0,0.0,102.0,200.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,4.0,9.0,4.0,7.0,3.0,7.0,0.0,0.0,1.0,3.0,82.4,33.3,0.0,0.0,34323.0,10401.0,7400.0,25023.0,Cash,1
19200.0,19200.0,19200.0, 36 months,  5.32%,578.21,A,A1,2 years,MORTGAGE,56500.0,Not Verified,Mar-2016,n,debt_consolidation,MO,13.57,0.0,Sep-1998,0.0,10.0,0.0,31753.0,68.3%,30.0,w,Feb-2018,0.0,Individual,0.0,0.0,267604.0,46500.0,29734.0,12650.0,71.2,0.0,0.0,210.0,149.0,6.0,2.0,5.0,35.0,0.0,3.0,4.0,3.0,4.0,18.0,5.0,7.0,4.0,10.0,0.0,0.0,0.0,4.0,100.0,33.3,0.0,0.0,294965.0,104684.0,44000.0,68814.0,Cash,1
9500.0,9500.0,9500.0, 36 months,  7.89%,297.22,A,A5,10+ years,MORTGAGE,70000.0,Not Verified,Aug-2015,n,home_improvement,MN,28.56,0.0,Oct-2000,0.0,9.0,0.0,13652.0,34.4%,41.0,w,Oct-2017,0.0,Individual,0.0,0.0,97906.0,39700.0,12238.0,20154.0,40.2,0.0,0.0,128.0,178.0,1.0,1.0,7.0,26.0,0.0,3.0,4.0,4.0,12.0,12.0,6.0,22.0,4.0,9.0,0.0,0.0,0.0,4.0,100.0,33.3,0.0,0.0,129925.0,97906.0,33700.0,90225.0,Cash,1
23000.0,23000.0,23000.0, 60 months, 13.99%,535.06,C,C3,10+ years,MORTGAGE,80000.0,Not Verified,Mar-2017,n,debt_consolidation,OK,14.39,0.0,Dec-1989,0.0,8.0,0.0,21243.0,44.3%,21.0,w,Feb-2018,0.0,Individual,0.0,0.0,85303.0,47900.0,10663.0,18257.0,53.8,0.0,0.0,163.0,206.0,11.0,11.0,2.0,11.0,0.0,3.0,3.0,3.0,4.0,9.0,6.0,10.0,3.0,8.0,0.0,0.0,0.0,1.0,100.0,33.3,0.0,0.0,144473.0,31425.0,39500.0,21573.0,Cash,1
25000.0,25000.0,25000.0, 36 months,  9.99%,806.57,B,B3,7 years,RENT,70000.0,Source Verified,May-2015,n,debt_consolidation,NY,12.86,0.0,Oct-2000,0.0,16.0,0.0,25480.0,55%,52.0,w,Feb-2018,0.0,Individual,0.0,0.0,29748.0,46300.0,2479.0,18194.0,51.0,0.0,0.0,175.0,174.0,11.0,11.0,0.0,11.0,1.0,4.0,6.0,6.0,37.0,3.0,14.0,49.0,6.0,16.0,0.0,0.0,0.0,2.0,98.1,16.7,0.0,0.0,56728.0,29748.0,37100.0,10428.0,Cash,1
8000.0,8000.0,7975.0, 36 months, 17.27%,286.3,C,C5,10+ years,OWN,26000.0,Not Verified,Sep-2012,n,debt_consolidation,VA,15.09,2.0,Oct-1994,1.0,4.0,0.0,2284.0,91.4%,15.0,f,Nov-2015,0.0,Individual,0.0,0.0,7375.0,2500.0,2458.0,216.0,91.4,0.0,0.0,39.0,217.0,21.0,5.0,1.0,21.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,11.0,1.0,4.0,0.0,0.0,0.0,1.0,80.0,100.0,0.0,0.0,9514.0,7375.0,2500.0,7014.0,Cash,1
15000.0,15000.0,15000.0, 36 months,  8.24%,471.71,B,B1,1 year,MORTGAGE,127000.0,Source Verified,Feb-2017,n,credit_card,MA,11.33,0.0,Sep-2000,0.0,9.0,0.0,14544.0,56.2%,16.0,w,Feb-2018,1.0,Individual,0.0,291.0,512285.0,25900.0,64036.0,2303.0,85.2,0.0,0.0,196.0,172.0,28.0,4.0,1.0,28.0,0.0,4.0,6.0,4.0,7.0,4.0,7.0,11.0,6.0,9.0,0.0,0.0,0.0,1.0,93.8,75.0,0.0,0.0,552630.0,38622.0,15600.0,26830.0,Cash,1
18000.0,18000.0,18000.0, 60 months, 11.22%,393.35,B,B5,10+ years,RENT,48000.0,Source Verified,Dec-2015,n,debt_consolidation,FL,16.93,0.0,Apr-1989,0.0,5.0,0.0,10467.0,58.8%,13.0,w,Jul-2017,0.0,Individual,0.0,0.0,29706.0,17800.0,5941.0,833.0,92.6,0.0,0.0,102.0,319.0,17.0,17.0,0.0,17.0,0.0,3.0,3.0,3.0,5.0,3.0,4.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,61.5,100.0,0.0,0.0,45182.0,29706.0,11300.0,27382.0,Cash,1
6100.0,6100.0,6100.0, 36 months,  5.32%,183.71,A,A1,,MORTGAGE,51500.0,Verified,Apr-2017,n,debt_consolidation,NC,8.55,0.0,Dec-2002,0.0,5.0,0.0,9724.0,37.1%,18.0,w,Feb-2018,0.0,Individual,0.0,0.0,132240.0,26200.0,26448.0,2800.0,68.5,0.0,0.0,109.0,172.0,31.0,31.0,6.0,107.0,0.0,2.0,3.0,2.0,5.0,1.0,4.0,11.0,3.0,5.0,0.0,0.0,0.0,0.0,94.4,50.0,0.0,0.0,155370.0,9724.0,8900.0,0.0,Cash,1
14275.0,14275.0,14275.0, 36 months, 23.13%,553.55,F,F1,8 years,RENT,40000.0,Verified,Mar-2016,n,small_business,CA,5.16,0.0,Nov-2009,1.0,6.0,0.0,4521.0,43.9%,7.0,f,Sep-2017,0.0,Individual,0.0,2946.0,4521.0,10300.0,754.0,5158.0,40.7,0.0,0.0,,76.0,11.0,11.0,0.0,11.0,0.0,3.0,4.0,5.0,5.0,0.0,6.0,7.0,4.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,10300.0,4521.0,8700.0,0.0,Cash,1
26000.0,26000.0,26000.0, 36 months, 11.99%,863.45,C,C1,6 years,RENT,85000.0,Verified,Jun-2016,n,debt_consolidation,IL,14.82,2.0,Aug-1993,1.0,11.0,0.0,24829.0,31.6%,22.0,w,Feb-2018,0.0,Individual,0.0,0.0,37368.0,78500.0,3397.0,48713.0,32.5,0.0,0.0,117.0,274.0,1.0,1.0,0.0,1.0,0.0,7.0,8.0,8.0,10.0,8.0,10.0,14.0,8.0,11.0,0.0,0.0,0.0,2.0,86.4,0.0,0.0,0.0,95965.0,37368.0,72200.0,17465.0,Cash,1
